Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,9689,8.54897,14.489,5,24,1.95479,1,2
2,9198,14.6775,26.4411,17,27,2,2,2
3,8588,15,27,27,27,2,2,2
4,8542,15,27,27,27,2,2,2
5,10708,5.2006,7.97198,1,18,1.29081,1,2
6,8450,15,27,27,27,2,2,2
7,8408,15,27,27,27,2,2,2
8,10313,5.71017,8.96693,5,15,1.18578,1,2
9,8318,15,27,27,27,2,2,2
10,10395,5.05964,7.67157,5,15,1.37297,1,2
21,9379,6.67683,10.8016,0,16,1,1,1
22,8843,9.78887,17.1174,0,22,1.17505,1,2
23,2928,14.9997,26.9993,25,27,2,2,2
24,2921,14.9976,26.9955,18,27,2,2,2
25,19304,9.94058,17.3653,13,26,1.74606,1,2
26,18436,14.951,26.9167,13,27,2,2,2
27,11742,6.43655,10.3589,0,18,1.43476,1,2
28,17778,6.13354,9.7705,0,15,1.02121,1,2
29,15718,14.9373,26.8913,20,27,2,2,2
30,18205,5.60016,8.76369,2,13,1.02516,1,2
