Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2781,9.79827,17.2629,16,18,2,2,2
2,9058,1.43608,1.06657,0,3,1,1,1
3,3217,4.47964,6.38794,2,8,1.01026,1,2
4,2734,10,18,18,18,2,2,2
5,2758,5.76686,9.04025,7,15,1.90827,1,2
6,2706,11.1478,19.9741,18,23,2,2,2
7,2692,10,18,18,18,2,2,2
8,5912,2.4408,2.6612,2,5,1.00321,1,2
9,2819,8.02519,13.4452,13,15,2,2,2
10,27535,0,0,0,0,1,1,1
11,4064,2.77904,3.54405,2,4,1.22096,1,2
21,5598,2.38871,2.3846,1,3,1,1,1
22,467,4.55889,6.54604,5,7,2,2,2
23,390,4.12051,5.87949,4,8,1.43846,1,2
24,4800,2.99646,2.99646,2,3,1,1,1
25,4675,8.32513,14.0214,13,15,2,2,2
26,940,5.93191,9.44681,5,12,1.17234,1,2
27,3615,4,5.98506,5,6,1,1,1
28,3147,11.2501,20.1398,18,23,2,2,2
29,3551,4.4655,6.72712,4,8,1.26725,1,2
