Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2783,14.3018,25.7036,25,27,2,2,2
2,2928,4.74283,7.18955,6,9,1.93272,1,2
3,2848,7.81917,12.7402,10,15,2,2,2
4,2734,15,27,27,27,2,2,2
5,2721,9.82139,17.5899,16,18,2,2,2
6,2706,15,27,27,27,2,2,2
7,2692,14.7678,26.5357,25,27,2,2,2
8,2841,6.2573,10.0612,7,14,2,2,2
9,2775,13.3178,24.2865,23,25,2,2,2
10,2656,3.07944,3.6073,2,5,1.23682,1,2
11,2838,5.3277,8.2463,6,11,2,2,2
21,2788,5.33429,8.30273,5,10,1.76255,1,2
22,467,9.59315,16.5931,16,17,2,2,2
23,468,7.21581,11.4316,9,15,2,2,2
24,4761,6.98803,11.5604,8,15,2,2,2
25,4722,13.1415,23.7097,18,25,2,2,2
26,923,8.02059,13.3933,11,15,2,2,2
27,3166,8.17309,13.7663,11,16,2,2,2
28,3145,15,27,27,27,2,2,2
29,3126,8.16379,13.9386,13,15,2,2,2
