Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,8681,11.5325,21.0151,18,24,2,2,2
2,21904,3.98863,5.61345,3,10,1,1,1
3,14059,4.75546,7.03606,6,8,2,2,2
4,9030,13.3652,24.0695,18,25,2,2,2
5,8536,8.05284,13.6659,11,15,2,2,2
6,8732,14.1267,25.5284,24,27,2,2,2
7,8725,13.5103,24.5089,18,25,2,2,2
8,17774,4.77101,7.25278,5,11,1.29718,1,2
9,8319,10,17.8161,17,18,2,2,2
10,28819,1.99091,1.10247,0,2,1,1,1
11,14608,5.36049,8.55791,4,10,1.00253,1,2
21,19984,4.5564,7.10618,4,8,1.02747,1,2
22,3023,7.44195,12.1307,11,13,2,2,2
23,2962,5.69615,9.19885,7,10,2,2,2
24,18832,5.05438,7.84526,4,9,1.10456,1,2
25,18113,10.0537,18.1073,18,22,2,2,2
26,11335,5.14654,8.13957,6,11,2,2,2
27,23031,4,6,6,6,2,2,2
28,15968,13.9424,24.9424,24,25,2,2,2
29,21609,5.19982,8.06099,7,9,2,2,2
