Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2280,15,27,27,27,2,2,2
2,2295,14.9891,26.9795,10,27,2,2,2
3,2293,14.9769,26.956,4,27,2,2,2
4,2288,15,27,27,27,2,2,2
5,2288,14.9921,26.9851,6,27,2,2,2
6,2275,15,27,27,27,2,2,2
7,2259,15,27,27,27,2,2,2
8,2259,14.9987,26.9973,21,27,2,2,2
9,2254,15,27,27,27,2,2,2
10,2236,15,27,27,27,2,2,2
21,2236,15,27,27,27,2,2,2
22,2229,14.9964,26.9933,15,27,2,2,2
23,467,15,27,27,27,2,2,2
24,344,14.936,26.8721,3,27,1.99709,1,2
25,2232,15,27,27,27,2,2,2
26,2218,15,27,27,27,2,2,2
27,925,15,27,27,27,2,2,2
28,2200,14.8491,26.7282,15,27,1.99955,1,2
29,2243,15,27,27,27,2,2,2
30,2229,15,27,27,27,2,2,2
