Timestamp_ns,NodeId,X,Y,Z
0,0,0,0,35
0,1,-22.0711,-400.099,1.5
0,2,-617.369,-163.835,1.5
0,3,599.809,-537.032,1.5
0,4,278.814,-131.064,1.5
0,5,531.109,-435.214,1.5
0,6,-239.821,103.112,1.5
0,7,-14.8918,320.58,1.5
0,8,314.407,-897.787,1.5
0,9,-204.206,337.58,1.5
0,10,-942.438,-87.2385,1.5
0,11,-351.539,782.759,1.5
0,12,-303.538,-937.574,1.5
0,13,518.276,335.066,1.5
0,14,697.332,-705.332,1.5
0,15,581.08,787.547,1.5
0,16,116.873,416.495,1.5
0,17,729.674,438.171,1.5
0,18,935.16,287.396,1.5
0,19,118.482,320.179,1.5
0,20,66.4812,641.154,1.5
1000000000,0,0,0,35
1000000000,1,-22.0727,-399.141,1.5
1000000000,2,-618.166,-164.593,1.5
1000000000,3,599.356,-537.334,1.5
1000000000,4,280.186,-130.557,1.5
1000000000,5,530.647,-435.007,1.5
1000000000,6,-240.117,103.946,1.5
1000000000,7,-16.0451,320.897,1.5
1000000000,8,314.408,-898.288,1.5
1000000000,9,-203.152,336.67,1.5
1000000000,10,-943.319,-86.1595,1.5
1000000000,11,-352.502,782.001,1.5
1000000000,12,-304.94,-937.075,1.5
1000000000,13,517.304,335.53,1.5
1000000000,14,696.223,-706.081,1.5
1000000000,15,581.436,786.892,1.5
1000000000,16,116.406,416.672,1.5
1000000000,17,729.389,437.437,1.5
1000000000,18,935.242,287.899,1.5
1000000000,19,118.16,319.756,1.5
1000000000,20,65.3209,642.013,1.5
2000000000,0,0,0,35
2000000000,1,-20.9694,-399.844,1.5
2000000000,2,-618.165,-166.053,1.5
2000000000,3,598.608,-536.533,1.5
2000000000,4,281.446,-130.739,1.5
2000000000,5,530.081,-435.058,1.5
2000000000,6,-241.524,103.427,1.5
2000000000,7,-16.2559,321.562,1.5
2000000000,8,314.855,-896.886,1.5
2000000000,9,-203.273,337.376,1.5
2000000000,10,-944.127,-84.9899,1.5
2000000000,11,-353.355,780.983,1.5
2000000000,12,-305.1,-937.789,1.5
2000000000,13,517.67,335.088,1.5
2000000000,14,695.078,-706.509,1.5
2000000000,15,581.298,788.102,1.5
2000000000,16,117.484,415.699,1.5
2000000000,17,728.204,438.348,1.5
2000000000,18,936.063,288.055,1.5
2000000000,19,119.221,320.426,1.5
2000000000,20,65.5644,643.307,1.5
3000000000,0,0,0,35
3000000000,1,-22.1751,-399.91,1.5
3000000000,2,-619.264,-165.672,1.5
3000000000,3,597.909,-536.756,1.5
3000000000,4,280.833,-131.71,1.5
3000000000,5,530.051,-436.325,1.5
3000000000,6,-242.427,104.4,1.5
3000000000,7,-16.4429,322.295,1.5
3000000000,8,315.481,-897.097,1.5
3000000000,9,-202.264,336.888,1.5
3000000000,10,-943.592,-84.68,1.5
3000000000,11,-352.822,781.068,1.5
3000000000,12,-304.134,-938.47,1.5
3000000000,13,517.523,334.602,1.5
3000000000,14,694.744,-706.938,1.5
3000000000,15,582.126,787.2,1.5
3000000000,16,118.029,415.835,1.5
3000000000,17,728.249,439.39,1.5
3000000000,18,935.659,287.254,1.5
3000000000,19,118.493,320.271,1.5
3000000000,20,66.2551,642.779,1.5
4000000000,0,0,0,35
4000000000,1,-21.5523,-399.881,1.5
4000000000,2,-620.103,-164.503,1.5
4000000000,3,598.899,-536.224,1.5
4000000000,4,281.514,-133.046,1.5
4000000000,5,529.134,-435.812,1.5
4000000000,6,-243.895,104.225,1.5
4000000000,7,-15.2781,323.048,1.5
4000000000,8,316.389,-896.723,1.5
4000000000,9,-203.251,336.463,1.5
4000000000,10,-943.817,-84.1911,1.5
4000000000,11,-352.34,780.234,1.5
4000000000,12,-302.682,-938.129,1.5
4000000000,13,518.444,335.547,1.5
4000000000,14,695.657,-706.928,1.5
4000000000,15,583.089,788.128,1.5
4000000000,16,117.883,417,1.5
4000000000,17,727.917,440.563,1.5
4000000000,18,935.285,287.594,1.5
4000000000,19,117.844,320.305,1.5
4000000000,20,65.3999,643.213,1.5
