Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2805,8.15829,13.7048,2,18,1.93155,1,2
2,2875,9.98991,17.6675,6,27,1.92209,1,2
3,2815,14.5879,26.2032,10,27,2,2,2
4,2862,14.9976,26.9958,22,27,2,2,2
5,6020,1.4995,1.62243,0,8,1.00033,1,2
6,2855,14.8326,26.6911,18,27,2,2,2
7,2683,14.5058,26.0622,10,27,2,2,2
8,11903,0.346299,0.17315,0,1,1,1,1
9,2660,14.7658,26.5575,12,27,2,2,2
10,5360,2.35075,2.28881,0,5,1,1,1
21,3852,2.79517,3.48832,0,8,1.00571,1,2
22,3418,3.33792,4.60035,0,10,1,1,1
23,374,14.9786,26.9599,18,27,2,2,2
24,472,9.00636,15.7034,5,23,1.99153,1,2
25,4716,5.5687,8.82125,0,16,1,1,1
26,4788,12.2667,21.8891,6,27,1.96784,1,2
27,1352,6.2818,10.2056,0,21,1.20562,1,2
28,7964,1.16173,1.00289,0,6,1,1,1
29,3344,13.1316,23.4827,11,27,2,2,2
30,16722,0.482,0.288961,0,2,1,1,1
