Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,764,11.9686,21.6217,17,26,2,2,2
2,931,14.6348,26.3598,24,27,2,2,2
3,702,15,27,27,27,2,2,2
4,724,15,27,27,27,2,2,2
5,781,5.46735,8.46991,4,15,1.2548,1,2
6,717,15,27,27,27,2,2,2
7,675,15,27,27,27,2,2,2
8,786,6.16412,9.86387,6,15,1.32061,1,2
9,666,15,27,27,27,2,2,2
10,807,5.22924,7.93061,5,17,1.43618,1,2
21,812,9.61823,16.6995,10,26,1.39532,1,2
22,797,9.30489,16.074,10,22,1.59849,1,2
23,187,15,27,27,27,2,2,2
24,236,14.7881,26.6695,25,27,2,2,2
25,567,9.79541,17.0476,13,26,1.73721,1,2
26,461,15,27,27,27,2,2,2
27,179,6.2905,10.0559,6,18,1.81564,1,2
28,441,7.08617,11.6803,6,20,1.42404,1,2
29,337,15,27,27,27,2,2,2
30,430,5.79302,9.12326,5,16,1.31163,1,2
