Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,1268,13,23.9787,23,24,2,2,2
2,1262,11.5174,20.5174,20,21,2,2,2
3,1281,15,27,27,27,2,2,2
4,1248,15,27,27,27,2,2,2
5,1300,15,27,27,27,2,2,2
6,1270,15,27,27,27,2,2,2
7,1251,15,27,27,27,2,2,2
8,1237,13,23,23,23,2,2,2
9,1202,15,27,27,27,2,2,2
10,1200,6,10,10,10,2,2,2
21,1205,15,27,27,27,2,2,2
22,1178,13,23,23,23,2,2,2
23,878,15,27,27,27,2,2,2
24,834,15,27,27,27,2,2,2
25,1136,15,27,27,27,2,2,2
26,1158,15,27,27,27,2,2,2
27,1112,15,27,27,27,2,2,2
28,1041,11.9241,21.683,18,22,2,2,2
29,1097,15,27,27,27,2,2,2
30,1158,15,27,27,27,2,2,2
