Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,4482,15,27,27,27,2,2,2
2,4450,15,27,27,27,2,2,2
3,4419,14.9966,26.9934,10,27,1.99977,1,2
4,4393,15,27,27,27,2,2,2
5,4350,14.9736,26.9545,10,27,1.99931,1,2
6,4332,14.9977,26.9954,15,27,2,2,2
7,4303,15,27,27,27,2,2,2
8,4244,14.8893,26.7872,6,27,1.99222,1,2
9,4243,15,27,27,27,2,2,2
10,3955,14.4799,26.0182,13,27,2,2,2
11,4188,15,27,27,27,2,2,2
21,4155,14.9966,26.9937,14,27,2,2,2
22,2895,14.999,26.9983,24,27,2,2,2
23,2955,15,27,27,27,2,2,2
24,4066,15,27,27,27,2,2,2
25,4041,15,27,27,27,2,2,2
26,4018,14.9988,26.9975,17,27,2,2,2
27,3831,14.4077,25.9457,16,27,1.99974,1,2
28,4079,15,27,27,27,2,2,2
29,4056,14.9973,26.9951,16,27,2,2,2
