Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,4482,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
2,4450,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
3,4419,0,0,0,14.9966,26.9934,10,27,1.99977,1,2,0,-inf,0,0,22.693,4.3,22.7
4,4393,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,4350,0,0,0,14.9736,26.9545,10,27,1.99931,1,2,0,-inf,0,0,22.6532,4.3,22.7
6,4332,0,0,0,14.9977,26.9954,15,27,2,2,2,0,-inf,0,0,22.6956,10.3,22.7
7,4303,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,4244,0,0,0,14.8893,26.7872,6,27,1.99222,1,2,0,-inf,0,0,22.4714,0.2,22.7
9,4243,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
10,3955,0,0,0,14.4799,26.0182,13,27,2,2,2,0,-inf,0,0,21.6095,8.1,22.7
11,4188,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
21,4155,0,0,0,14.9966,26.9937,14,27,2,2,2,0,-inf,0,0,22.693,8.1,22.7
22,2895,0,0,0,14.999,26.9983,24,27,2,2,2,0,-inf,0,0,22.698,18.7,22.7
23,2955,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
24,4066,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
25,4041,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
26,4018,0,0,0,14.9988,26.9975,17,27,2,2,2,0,-inf,0,0,22.6973,11.7,22.7
27,3831,0,0,0,14.4077,25.9457,16,27,1.99974,1,2,0,-inf,0,0,21.6715,10.3,22.7
28,4079,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
29,4056,0,0,0,14.9973,26.9951,16,27,2,2,2,0,-inf,0,0,22.6942,10.3,22.7
