Timestamp_ns,NodeId,X,Y,Z
0,0,0,0,25
0,1,-16.9447,65.6443,1.5
0,2,-4.29448,99.2718,1.5
0,3,-47.9011,112.702,1.5
0,4,-24.6086,50.8967,1.5
0,5,-42.1578,97.2134,1.5
0,6,3.46482,51.1186,1.5
0,7,14.5871,56.1745,1.5
0,8,-44.7277,135.906,1.5
0,9,11.4131,66.0409,1.5
0,10,-2.19058,142.382,1.5
0,11,24.7186,127.532,1.5
0,12,-30.7834,144.699,1.5
0,13,40.0111,87.7171,1.5
0,14,-56.8284,137.566,1.5
0,15,52.8393,137.149,1.5
0,16,21.7409,68.4844,1.5
0,17,54.1521,117.004,1.5
0,18,67.049,130.728,1.5
0,19,19.0742,57.391,1.5
0,20,27.5875,96.2938,1.5
1000000000,0,0,0,25
1000000000,1,-16.9463,66.6023,1.5
1000000000,2,-5.09147,98.5136,1.5
1000000000,3,-48.3542,112.399,1.5
1000000000,4,-23.2369,51.4042,1.5
1000000000,5,-42.6189,97.4203,1.5
1000000000,6,3.16819,51.953,1.5
1000000000,7,13.4337,56.492,1.5
1000000000,8,-44.7268,135.406,1.5
1000000000,9,12.4678,65.1307,1.5
1000000000,10,-3.07193,143.462,1.5
1000000000,11,23.7554,126.774,1.5
1000000000,12,-32.1856,145.198,1.5
1000000000,13,39.0397,88.1804,1.5
1000000000,14,-57.9373,136.817,1.5
1000000000,15,53.1946,136.493,1.5
1000000000,16,21.2734,68.6619,1.5
1000000000,17,53.8671,116.27,1.5
1000000000,18,67.1307,131.232,1.5
1000000000,19,18.7522,56.968,1.5
1000000000,20,26.4273,97.1519,1.5
2000000000,0,0,0,25
2000000000,1,-15.8429,65.8993,1.5
2000000000,2,-5.09074,97.0534,1.5
2000000000,3,-49.1019,113.201,1.5
2000000000,4,-21.9764,51.2216,1.5
2000000000,5,-43.185,97.369,1.5
2000000000,6,1.76205,51.4336,1.5
2000000000,7,13.223,57.1563,1.5
2000000000,8,-44.2802,136.808,1.5
2000000000,9,12.3462,65.8367,1.5
2000000000,10,-3.87982,144.631,1.5
2000000000,11,22.9024,125.757,1.5
2000000000,12,-32.3458,144.484,1.5
2000000000,13,39.4055,87.7384,1.5
2000000000,14,-59.0822,136.389,1.5
2000000000,15,53.0574,137.704,1.5
2000000000,16,22.3519,67.6887,1.5
2000000000,17,52.6822,117.181,1.5
2000000000,18,67.9521,131.387,1.5
2000000000,19,19.8134,57.6382,1.5
2000000000,20,26.6707,98.4466,1.5
3000000000,0,0,0,25
3000000000,1,-17.0487,65.8339,1.5
3000000000,2,-6.19002,97.4349,1.5
3000000000,3,-49.8018,112.977,1.5
3000000000,4,-22.5894,50.2507,1.5
3000000000,5,-43.2154,96.1023,1.5
3000000000,6,0.858542,52.4068,1.5
3000000000,7,13.036,57.8892,1.5
3000000000,8,-43.6545,136.597,1.5
3000000000,9,13.3557,65.3492,1.5
3000000000,10,-3.3451,144.941,1.5
3000000000,11,23.4351,125.841,1.5
3000000000,12,-31.3798,143.803,1.5
3000000000,13,39.2586,87.2527,1.5
3000000000,14,-59.4164,135.96,1.5
3000000000,15,53.8845,136.802,1.5
3000000000,16,22.8965,67.8248,1.5
3000000000,17,52.7272,118.223,1.5
3000000000,18,67.5479,130.586,1.5
3000000000,19,19.0852,57.4828,1.5
3000000000,20,27.3614,97.9188,1.5
4000000000,0,0,0,25
4000000000,1,-16.4258,65.8622,1.5
4000000000,2,-7.02851,98.6035,1.5
4000000000,3,-48.8117,113.509,1.5
4000000000,4,-21.9082,48.9145,1.5
4000000000,5,-44.1318,96.6155,1.5
4000000000,6,-0.609794,52.2314,1.5
4000000000,7,14.2008,58.6424,1.5
4000000000,8,-42.7467,136.971,1.5
4000000000,9,12.3681,64.9238,1.5
4000000000,10,-3.56956,145.43,1.5
4000000000,11,23.9169,125.007,1.5
4000000000,12,-29.9274,144.144,1.5
4000000000,13,40.1794,88.1979,1.5
4000000000,14,-58.503,135.97,1.5
4000000000,15,54.8478,137.729,1.5
4000000000,16,22.7507,68.9893,1.5
4000000000,17,52.3948,119.396,1.5
4000000000,18,67.174,130.927,1.5
4000000000,19,18.4361,57.5168,1.5
4000000000,20,26.5062,98.3519,1.5
