Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2781,9.94894,17.5376,6,24,1.99892,1,2
2,3022,12.3666,22.3246,8,27,1.99934,1,2
3,2832,15,27,27,27,2,2,2
4,2868,15,27,27,27,2,2,2
5,2808,4.0584,5.70477,0,12,1.06125,1,2
6,2865,14.9993,26.9986,23,27,2,2,2
7,2691,14.9981,26.9967,23,27,2,2,2
8,2931,3.14637,3.80655,0,7,1,1,1
9,2662,14.9959,26.9925,20,27,2,2,2
10,2952,5.52134,8.54878,2,14,1.22866,1,2
21,3184,2.77607,3.3282,0,8,1,1,1
22,2766,7.60774,12.7017,5,17,1.97216,1,2
23,374,15,27,27,27,2,2,2
24,494,13.0223,23.4575,16,25,2,2,2
25,4827,10.0603,17.6704,0,22,1,1,1
26,4826,14.5075,26.1181,8,27,1.99876,1,2
27,1357,7.52911,12.4812,1,22,1.72292,1,2
28,5992,1.64219,1.40204,0,6,1.00017,1,2
29,3343,14.8866,26.79,11,27,2,2,2
30,3600,5.85444,9.25167,0,15,1.20667,1,2
