Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,701,15,27,27,27,2,2,2
2,694,15,27,27,27,2,2,2
3,692,14.9913,26.9855,18,27,2,2,2
4,691,15,27,27,27,2,2,2
5,725,14.9697,26.9421,7,27,2,2,2
6,682,15,27,27,27,2,2,2
7,679,15,27,27,27,2,2,2
8,713,14.9972,26.9958,24,27,2,2,2
9,710,15,27,27,27,2,2,2
10,705,14.9986,26.9972,25,27,2,2,2
21,701,15,27,27,27,2,2,2
22,693,14.9971,26.9957,24,27,2,2,2
23,233,15,27,27,27,2,2,2
24,226,14.9735,26.9513,16,27,2,2,2
25,506,15,27,27,27,2,2,2
26,505,15,27,27,27,2,2,2
27,137,15,27,27,27,2,2,2
28,338,14.9704,26.9527,16,27,2,2,2
29,340,15,27,27,27,2,2,2
30,340,15,27,27,27,2,2,2
