Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,697,15,27,27,27,2,2,2
2,719,15,27,27,27,2,2,2
3,718,13.9958,25.0975,18,27,2,2,2
4,689,15,27,27,27,2,2,2
5,682,10.5645,18.9853,4,24,1.99853,1,2
6,678,14.972,26.9558,18,27,2,2,2
7,673,15,27,27,27,2,2,2
8,697,13.6829,24.6456,18,27,2,2,2
9,686,15,27,27,27,2,2,2
10,695,13.9655,24.9957,16,27,2,2,2
11,658,15,27,27,27,2,2,2
21,690,13.9884,25.1333,18,27,2,2,2
22,234,14.9957,26.9915,25,27,2,2,2
23,232,15,27,27,27,2,2,2
24,507,15,27,27,27,2,2,2
25,460,15,27,27,27,2,2,2
26,137,13.7299,24.708,18,26,2,2,2
27,361,11.687,21.072,17,25,2,2,2
28,315,15,27,27,27,2,2,2
29,338,13.9586,25.0444,17,27,2,2,2
