Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,763,9.0367,15.574,8,18,2,2,2
2,1029,13.1195,23.6958,17,27,2,2,2
3,702,15,27,27,27,2,2,2
4,724,15,27,27,27,2,2,2
5,1058,2.12949,2.23062,0,7,1.0104,1,2
6,717,15,27,27,27,2,2,2
7,675,15,27,27,27,2,2,2
8,691,4.54703,6.64399,3,11,1,1,1
9,666,15,27,27,27,2,2,2
10,904,6.88606,11.2168,5,21,1.85509,1,2
21,894,6.64653,10.7919,4,17,1.09843,1,2
22,731,5.67852,8.88919,0,12,1.85089,1,2
23,187,15,27,27,27,2,2,2
24,244,11.3525,20.4057,17,25,2,2,2
25,551,8.36661,14.2523,8,21,1,1,1
26,507,14.7357,26.5365,25,27,2,2,2
27,193,6.60622,10.6839,5,17,1.54922,1,2
28,368,4.88043,7.29348,3,13,1,1,1
29,337,15,27,27,27,2,2,2
30,379,3.80211,5.12929,3,10,1,1,1
