Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2275,15,27,27,27,2,2,2
2,2280,14.9943,26.9895,16,27,2,2,2
3,2273,14.9925,26.9855,11,27,2,2,2
4,2276,15,27,27,27,2,2,2
5,2269,14.9991,26.9987,24,27,2,2,2
6,2260,15,27,27,27,2,2,2
7,2250,15,27,27,27,2,2,2
8,2252,15,27,27,27,2,2,2
9,2246,15,27,27,27,2,2,2
10,2230,15,27,27,27,2,2,2
21,2227,15,27,27,27,2,2,2
22,2217,14.9986,26.9973,21,27,2,2,2
23,465,15,27,27,27,2,2,2
24,414,14.9106,26.8285,8,27,2,2,2
25,2215,15,27,27,27,2,2,2
26,2209,15,27,27,27,2,2,2
27,925,15,27,27,27,2,2,2
28,2229,14.9758,26.9623,21,27,2,2,2
29,2234,15,27,27,27,2,2,2
30,2220,15,27,27,27,2,2,2
