Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,9007,8.9748,15.446,2,24,1.98468,1,2
2,9324,9.15583,15.8958,1,26,1.71611,1,2
3,8450,14.9279,26.8614,5,27,1.99988,1,2
4,8446,14.9961,26.9935,22,27,2,2,2
5,19560,3.609,4.83635,0,13,1.00256,1,2
6,8376,14.9981,26.9964,13,27,2,2,2
7,8226,14.9844,26.9696,4,27,1.99891,1,2
8,21426,3.30556,4.17306,0,10,1,1,1
9,8203,14.9968,26.994,10,27,2,2,2
10,18174,3.71421,4.9567,1,9,1.00011,1,2
21,13911,5.02861,7.65905,0,15,1.06851,1,2
22,12859,5.46629,8.49809,0,15,1.1053,1,2
23,2889,14.919,26.8505,17,27,2,2,2
24,2813,8.8546,15.1571,5,17,1.97867,1,2
25,18227,5.3847,8.3198,0,15,1,1,1
26,17293,13.6271,24.5389,6,27,1.99572,1,2
27,9490,7.35111,12.1961,0,22,1.61243,1,2
28,17851,3.42586,4.57341,0,14,1.04022,1,2
29,10386,12.4267,22.0195,5,27,1.99981,1,2
30,21628,3.97554,5.52802,0,10,1.00878,1,2
