NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,181.733,5,3.69621,0.780321,0.0389963,0.484473,0
1,UE,0,100000,100000,0.297952,5,4.61194,0.258955,0.0254627,0.103641,0
2,UE,0,100000,100000,0.298257,5,4.61094,0.258955,0.0255341,0.104569,0
3,UE,0,100000,100000,0.301449,5,4.60048,0.258955,0.0266055,0.113962,0
4,UE,0,100000,100000,0.297462,5,4.61355,0.258955,0.0251413,0.102355,0
5,UE,0,100000,100000,0.300664,5,4.60305,0.258955,0.0262841,0.111712,0
6,UE,0,100000,100000,0.296961,5,4.61519,0.258955,0.0248199,0.101033,0
7,UE,0,100000,100000,0.296732,5,4.61594,0.258955,0.0247125,0.100391,0
8,UE,0,100000,100000,0.299771,5,4.60598,0.258955,0.0257841,0.109283,0
9,UE,0,100000,100000,0.297941,5,4.61198,0.258955,0.0250341,0.104033,0
10,UE,0,100000,100000,0.303309,5,4.59458,0.258955,0.047784,0.0986763,0
11,UE,0,100000,100000,0.305915,5,4.58584,0.258955,0.0406412,0.114568,0
12,UE,0,100000,100000,0.295687,5,4.61937,0.258955,0.0239985,0.0976764,0
13,UE,0,100000,100000,0.274163,5,4.68994,0.258955,0.00839232,0.0427132,0
14,UE,0,100000,100000,0.274119,5,4.69008,0.258955,0.00835661,0.0426061,0
15,UE,0,100000,100000,0.28975,5,4.63883,0.258955,0.0183917,0.0838194,0
16,UE,0,100000,100000,0.285088,5,4.65412,0.258955,0.0166418,0.0702841,0
17,UE,0,100000,100000,0.265111,5,4.71962,0.258955,0.0035355,0.0178924,0
18,UE,0,100000,100000,0.277365,5,4.67944,0.258955,0.0119636,0.0496417,0
19,UE,0,100000,100000,0.280241,5,4.67001,0.258955,0.0126064,0.0584272,0
20,UE,0,100000,100000,0.280012,5,4.67076,0.258955,0.0125349,0.0577486,0
