FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
36,7.0.0.15,1.0.0.1,49153,5033,UL,voip,13,0.016,160,UDP,UDP,1,46,46,0,18.7421,4,0,0.873684,4.47853,3.60485,18.7664,100
37,1.0.0.2,7.0.0.18,49169,5016,DL,gaming,16,0.1,500,UDP,UDP,1,91,90,1,102.801,13,1,0.876842,4.48817,3.61133,104.27,98.9011
38,1.0.0.2,7.0.0.20,49171,5018,DL,ftp,18,1,1440,UDP,UDP,1,314,313,1,992.401,12,0,0.890467,4.50767,3.6172,998.731,99.6815
39,7.0.0.16,1.0.0.1,49153,5034,UL,social,14,0.025,250,UDP,UDP,1,46,46,0,27.6918,7,0,0.894737,4.50253,3.60779,27.7508,100
40,1.0.0.2,7.0.0.21,49172,5019,DL,ftp,19,1,1440,UDP,UDP,1,312,311,1,992.385,12,0,0.91152,4.50567,3.59415,998.752,99.6795
41,7.0.0.17,1.0.0.1,49153,5035,UL,social,15,0.025,250,UDP,UDP,1,45,0,45,0,0,0,0.915789,0,5,27.7645,0
42,7.0.0.18,1.0.0.1,49153,5036,UL,gaming,16,0.025,250,UDP,UDP,1,45,0,45,0,0,0,0.936842,0,5,27.7645,0
43,7.0.0.19,1.0.0.1,49153,5037,UL,ftp,17,0.05,1000,UDP,UDP,1,22,0,22,0,0,0,1.03789,0,5,52.5846,0
44,7.0.0.20,1.0.0.1,49153,5038,UL,ftp,18,0.05,1000,UDP,UDP,1,22,22,0,52.4594,7,0,1.05895,4.42703,3.36808,52.5846,100
45,7.0.0.21,1.0.0.1,49153,5039,UL,ftp,19,0.05,1000,UDP,UDP,1,22,22,0,52.4685,7,0,1.08,4.44749,3.36749,52.5846,100
