Timestamp_ns,NodeId,X,Y,Z
0,0,0,0,25
0,1,-16.9447,65.6443,1.5
0,2,-4.29448,99.2718,1.5
0,3,-47.9011,112.702,1.5
0,4,-24.6086,50.8967,1.5
0,5,-42.1578,97.2134,1.5
0,6,3.46482,51.1186,1.5
0,7,14.5871,56.1745,1.5
0,8,-44.7277,135.906,1.5
0,9,11.4131,66.0409,1.5
0,10,-2.19058,142.382,1.5
0,11,24.7186,127.532,1.5
0,12,-30.7834,144.699,1.5
0,13,40.0111,87.7171,1.5
0,14,-56.8284,137.566,1.5
0,15,52.8393,137.149,1.5
0,16,21.7409,68.4844,1.5
0,17,54.1521,117.004,1.5
0,18,67.049,130.728,1.5
0,19,19.0742,57.391,1.5
0,20,27.5875,96.2938,1.5
1000000000,0,0,0,25
1000000000,1,-17.8532,64.6468,1.5
1000000000,2,-5.60851,99.5,1.5
1000000000,3,-46.5989,112.5,1.5
1000000000,4,-25.4461,51.9461,1.5
1000000000,5,-42,95.8806,1.5
1000000000,6,3.5,49.7696,1.5
1000000000,7,15.3954,55.1046,1.5
1000000000,8,-43.9884,134.988,1.5
1000000000,9,10.5266,65.0266,1.5
1000000000,10,-2,141.077,1.5
1000000000,11,24.5,126.226,1.5
1000000000,12,-31,143.382,1.5
1000000000,13,39.1681,86.6681,1.5
1000000000,14,-56.0078,136.508,1.5
1000000000,15,52.0631,136.063,1.5
1000000000,16,20.6714,67.6714,1.5
1000000000,17,54,115.676,1.5
1000000000,18,66.1903,129.69,1.5
1000000000,19,20.0458,56.4542,1.5
1000000000,20,26.5099,95.5099,1.5
2000000000,0,0,0,25
2000000000,1,-18.9138,63.5862,1.5
2000000000,2,-7.10851,99.5,1.5
2000000000,3,-45.0989,112.5,1.5
2000000000,4,-26.5068,53.0068,1.5
2000000000,5,-42,94.3806,1.5
2000000000,6,3.5,48.2696,1.5
2000000000,7,16.4561,54.0439,1.5
2000000000,8,-43,133.898,1.5
2000000000,9,9.46599,63.966,1.5
2000000000,10,-2,139.577,1.5
2000000000,11,24.5,124.726,1.5
2000000000,12,-31,141.882,1.5
2000000000,13,38.1075,85.6075,1.5
2000000000,14,-54.9472,135.447,1.5
2000000000,15,51.0024,135.002,1.5
2000000000,16,19.6107,66.6107,1.5
2000000000,17,54,114.176,1.5
2000000000,18,65.1296,128.63,1.5
2000000000,19,21.1065,55.3935,1.5
2000000000,20,25.4492,94.4492,1.5
3000000000,0,0,0,25
3000000000,1,-19.9745,62.5255,1.5
3000000000,2,-8.60851,99.5,1.5
3000000000,3,-43.5989,112.5,1.5
3000000000,4,-27.5674,54.0674,1.5
3000000000,5,-42,92.8806,1.5
3000000000,6,3.5,46.7696,1.5
3000000000,7,17.5167,52.9833,1.5
3000000000,8,-43,132.398,1.5
3000000000,9,8.40533,62.9053,1.5
3000000000,10,-2,138.077,1.5
3000000000,11,24.5,123.226,1.5
3000000000,12,-31,140.382,1.5
3000000000,13,37.0468,84.5468,1.5
3000000000,14,-53.8865,134.387,1.5
3000000000,15,49.9418,133.942,1.5
3000000000,16,18.55,65.55,1.5
3000000000,17,54,112.676,1.5
3000000000,18,64.069,127.569,1.5
3000000000,19,22.1671,54.3329,1.5
3000000000,20,24.3886,93.3886,1.5
4000000000,0,0,0,25
4000000000,1,-21.0351,61.4649,1.5
4000000000,2,-10.1085,99.5,1.5
4000000000,3,-42.0989,112.5,1.5
4000000000,4,-28.6281,55.1281,1.5
4000000000,5,-42,91.3806,1.5
4000000000,6,3.5,45.2696,1.5
4000000000,7,18.5774,51.9226,1.5
4000000000,8,-43,130.898,1.5
4000000000,9,7.34467,61.8447,1.5
4000000000,10,-2,136.577,1.5
4000000000,11,24.5,121.726,1.5
4000000000,12,-31,138.882,1.5
4000000000,13,35.9861,83.4861,1.5
4000000000,14,-52.8258,133.326,1.5
4000000000,15,48.8811,132.881,1.5
4000000000,16,17.4894,64.4894,1.5
4000000000,17,54,111.176,1.5
4000000000,18,63.0083,126.508,1.5
4000000000,19,22.5,52.9707,1.5
4000000000,20,23.3279,92.3279,1.5
