Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,4496,13.9028,24.9028,24,25,2,2,2
2,4967,8.97121,15.2136,12,22,2,2,2
3,4432,14,25.2477,25,26,2,2,2
4,4418,15,27,27,27,2,2,2
5,4363,14.2815,25.5629,25,27,2,2,2
6,4345,10,18,18,18,2,2,2
7,4315,15,27,27,27,2,2,2
8,4277,15,27,27,27,2,2,2
9,4290,9.98252,17.2681,16,18,2,2,2
10,5001,4.36633,6.31694,5,7,2,2,2
11,4567,5.28049,8.04204,6,9,2,2,2
21,4176,11.4883,20.6789,18,27,2,2,2
22,2878,14.7019,26.4038,25,27,2,2,2
23,2867,14.2996,25.5992,25,27,2,2,2
24,4103,11.2098,20.1172,18,25,2,2,2
25,4050,15,27,27,27,2,2,2
26,4020,12.642,23.2841,18,24,2,2,2
27,4966,11.1184,20.2368,18,22,2,2,2
28,4190,15,27,27,27,2,2,2
29,4773,11.2816,20.136,18,23,2,2,2
