Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,695,0,0,0,9.80144,17.2791,16,18,2,2,2,0,-inf,0,0,11.422,10.3,11.7
2,1333,0,0,0,1.59715,1.19955,0,3,1,1,1,0,-inf,0,0,-3.47179,-4.7,-2.3
3,773,0,0,0,4.47995,6.39327,3,8,1.00906,1,2,0,-inf,0,0,1.25317,-2.3,2.4
4,686,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
5,685,0,0,0,5.73869,8.98394,8,15,1.91825,1,2,0,-inf,0,0,3.82803,2.4,10.3
6,679,0,0,0,11.1649,19.9926,18,23,2,2,2,0,-inf,0,0,14.4131,11.7,18.7
7,674,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
8,1083,0,0,0,2.54848,2.82271,2,5,1,1,1,0,-inf,0,0,-3.35623,-4.7,0.2
9,690,0,0,0,8.05507,13.4623,13,15,2,2,2,0,-inf,0,0,8.22116,8.1,10.3
10,4699,0,0,0,0,0,0,0,1,1,1,0,-inf,0,0,0,0,0
11,679,0,0,0,2.68336,3.36672,2,4,1.31664,1,2,0,-inf,0,0,-3.05994,-4.7,-2.3
21,961,0,0,0,2.41519,2.41519,2,3,1,1,1,0,-inf,0,0,-3.70354,-4.7,-2.3
22,233,0,0,0,4.56652,6.56652,6,7,2,2,2,0,-inf,0,0,1.44635,0.2,2.4
23,193,0,0,0,4.08808,5.81347,4,8,1.45596,1,2,0,-inf,0,0,0.256995,-2.3,2.4
24,467,0,0,0,3,3,3,3,1,1,1,0,-inf,0,0,-2.3,-2.3,-2.3
25,466,0,0,0,8.31974,14.0193,13,15,2,2,2,0,-inf,0,0,8.80343,8.1,10.3
26,121,0,0,0,5.91736,9.44628,5,12,1.19835,1,2,0,-inf,0,0,3.98926,0.2,5.9
27,317,0,0,0,4,6,6,6,1,1,1,0,-inf,0,0,0.2,0.2,0.2
28,316,0,0,0,11.2468,20.1329,18,23,2,2,2,0,-inf,0,0,14.6038,11.7,18.7
29,351,0,0,0,4.4416,6.68376,4,8,1.2792,1,2,0,-inf,0,0,1.08775,-2.3,2.4
