Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,695,9.80144,17.2791,16,18,2,2,2
2,1333,1.59715,1.19955,0,3,1,1,1
3,773,4.47995,6.39327,3,8,1.00906,1,2
4,686,10,18,18,18,2,2,2
5,685,5.73869,8.98394,8,15,1.91825,1,2
6,679,11.1649,19.9926,18,23,2,2,2
7,674,10,18,18,18,2,2,2
8,1083,2.54848,2.82271,2,5,1,1,1
9,690,8.05507,13.4623,13,15,2,2,2
10,4699,0,0,0,0,1,1,1
11,679,2.68336,3.36672,2,4,1.31664,1,2
21,961,2.41519,2.41519,2,3,1,1,1
22,233,4.56652,6.56652,6,7,2,2,2
23,193,4.08808,5.81347,4,8,1.45596,1,2
24,467,3,3,3,3,1,1,1
25,466,8.31974,14.0193,13,15,2,2,2
26,121,5.91736,9.44628,5,12,1.19835,1,2
27,317,4,6,6,6,1,1,1
28,316,11.2468,20.1329,18,23,2,2,2
29,351,4.4416,6.68376,4,8,1.2792,1,2
