Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2327,15,27,27,27,2,2,2
2,2176,14.8226,26.8019,10,27,2,2,2
3,2337,14.9769,26.9555,3,27,1.99957,1,2
4,2330,15,27,27,27,2,2,2
5,2331,14.9966,26.9931,11,27,2,2,2
6,2318,15,27,27,27,2,2,2
7,2307,15,27,27,27,2,2,2
8,2286,14.9873,26.9808,16,27,2,2,2
9,2285,15,27,27,27,2,2,2
10,2275,14.9978,26.996,18,27,2,2,2
21,2258,14.9982,26.9982,26,27,2,2,2
22,2191,14.8179,26.7435,8,27,2,2,2
23,1714,15,27,27,27,2,2,2
24,1716,14.9505,26.9038,2,27,1.99767,1,2
25,2223,14.9987,26.9978,24,27,2,2,2
26,2219,15,27,27,27,2,2,2
27,2213,15,27,27,27,2,2,2
28,2032,14.3337,25.7928,13,27,1.98228,1,2
29,2189,15,27,27,27,2,2,2
30,2185,15,27,27,27,2,2,2
