Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2331,15,27,27,27,2,2,2
2,2340,14.9936,26.988,16,27,2,2,2
3,2343,14.9842,26.9697,4,27,2,2,2
4,2341,15,27,27,27,2,2,2
5,2338,14.9944,26.9893,11,27,2,2,2
6,2321,15,27,27,27,2,2,2
7,2318,15,27,27,27,2,2,2
8,2304,14.9931,26.9883,18,27,2,2,2
9,2291,15,27,27,27,2,2,2
10,2281,14.9978,26.9965,24,27,2,2,2
21,2278,15,27,27,27,2,2,2
22,2260,14.9907,26.9827,15,27,2,2,2
23,1726,15,27,27,27,2,2,2
24,1715,14.9685,26.9399,3,27,2,2,2
25,2228,15,27,27,27,2,2,2
26,2227,15,27,27,27,2,2,2
27,2233,15,27,27,27,2,2,2
28,2111,14.6802,26.4098,15,27,1.99621,1,2
29,2204,15,27,27,27,2,2,2
30,2188,15,27,27,27,2,2,2
