Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,4519,15,27,27,27,2,2,2
2,4498,15,27,27,27,2,2,2
3,4423,14.0554,25.2485,9,27,1.9991,1,2
4,4439,15,27,27,27,2,2,2
5,3491,10.8009,19.3985,4,24,1.99771,1,2
6,4347,14.9425,26.9048,10,27,1.99885,1,2
7,4345,15,27,27,27,2,2,2
8,3326,12.7712,23.1115,2,26,1.97956,1,2
9,4287,14.9967,26.9942,25,27,2,2,2
10,3236,12.9042,23.0757,6,27,1.96755,1,2
11,4204,14.9795,26.9684,25,27,2,2,2
21,4161,14.2531,25.6652,16,27,1.99952,1,2
22,2772,14.9975,26.9949,15,27,2,2,2
23,2869,15,27,27,27,2,2,2
24,4102,14.9756,26.9647,25,27,2,2,2
25,4082,15,27,27,27,2,2,2
26,4128,14.4743,26.0938,13,27,1.99976,1,2
27,3208,11.0312,19.7868,7,25,1.99532,1,2
28,4102,15,27,27,27,2,2,2
29,4083,13.4818,24.2099,7,25,1.99927,1,2
