Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,697,15,27,27,27,2,2,2
2,718,15,27,27,27,2,2,2
3,716,14.9804,26.9707,25,27,2,2,2
4,689,15,27,27,27,2,2,2
5,683,13.8155,24.877,8,27,1.99854,1,2
6,678,14.9985,26.9985,26,27,2,2,2
7,673,15,27,27,27,2,2,2
8,688,14.9491,26.9186,25,27,2,2,2
9,686,15,27,27,27,2,2,2
10,698,14.7507,26.5903,18,27,2,2,2
11,658,15,27,27,27,2,2,2
21,688,14.9331,26.8924,25,27,2,2,2
22,233,15,27,27,27,2,2,2
23,232,15,27,27,27,2,2,2
24,509,15,27,27,27,2,2,2
25,460,15,27,27,27,2,2,2
26,148,14.6689,26.4527,25,27,2,2,2
27,376,14.0532,25.2287,18,27,2,2,2
28,315,15,27,27,27,2,2,2
29,332,14.994,26.988,23,27,2,2,2
