Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2773,10,18,18,18,2,2,2
2,2773,5,7,7,7,2,2,2
3,2853,10,18,18,18,2,2,2
4,2731,14,25,25,25,2,2,2
5,2715,13,24,24,24,2,2,2
6,2701,9,16,16,16,2,2,2
7,2793,15,27,27,27,2,2,2
8,2778,14,25,25,25,2,2,2
9,2664,7,11.9835,11,12,2,2,2
10,3202,3.99625,5.4975,2,6,1.00187,1,2
11,3148,3.13882,3.27764,3,5,1.86118,1,2
21,3645,9.58848,16.5885,16,17,2,2,2
22,467,13,24,24,24,2,2,2
23,459,10,18,18,18,2,2,2
24,4625,9,15,15,15,2,2,2
25,4598,15,27,27,27,2,2,2
26,915,10,18,18,18,2,2,2
27,3164,9,16,16,16,2,2,2
28,3228,15,27,27,27,2,2,2
29,3128,9,16,16,16,2,2,2
