NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,166.878,5,0.990223,0.899888,0.062779,3.04711,0
1,UE,0,100000,100000,0.483857,5,3.96989,0.315922,0.173986,0.540206,0
2,UE,0,100000,100000,0.472549,5,4.00696,0.315922,0.175198,0.501921,0
3,UE,0,100000,100000,0.482964,5,3.97281,0.315922,0.172557,0.538706,0
4,UE,0,100000,100000,0.483095,5,3.97238,0.315922,0.171347,0.540349,0
5,UE,0,100000,100000,0.481985,5,3.97602,0.315922,0.169849,0.538206,0
6,UE,0,100000,100000,0.480983,5,3.97931,0.315922,0.167208,0.537563,0
7,UE,0,100000,100000,0.480961,5,3.97938,0.315922,0.167207,0.537492,0
8,UE,0,100000,100000,0.478993,5,3.98538,0.316704,0.166562,0.531349,0
9,UE,0,100000,100000,0.47924,5,3.98502,0.315922,0.165921,0.533135,0
10,UE,0,100000,100000,0.477825,5,3.98966,0.315922,0.162851,0.531563,0
11,UE,0,100000,100000,0.477184,5,3.99176,0.315922,0.164823,0.527492,0
12,UE,0,100000,100000,0.469853,5,4.0158,0.315922,0.167929,0.50035,0
13,UE,0,100000,100000,0.323345,5,4.49615,0.315922,0.0334274,0.154498,0
14,UE,0,100000,100000,0.311927,5,4.53359,0.315922,0.0249892,0.125498,0
15,UE,0,100000,100000,0.484174,5,3.96885,0.315922,0.175313,0.53992,0
16,UE,0,100000,100000,0.470889,5,4.0124,0.315922,0.192469,0.479207,0
17,UE,0,100000,100000,0.366126,5,4.35589,0.315922,0.07605,0.252139,0
18,UE,0,100000,100000,0.456202,5,4.06056,0.315922,0.237169,0.386351,0
19,UE,0,100000,100000,0.447223,5,4.09,0.315922,0.346799,0.247282,0
20,UE,0,100000,100000,0.478239,5,3.98831,0.315922,0.17328,0.522492,0
