Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,697,10,18,18,18,2,2,2
2,693,5,7,7,7,2,2,2
3,729,10,18,18,18,2,2,2
4,692,14,25,25,25,2,2,2
5,720,13,24,24,24,2,2,2
6,679,9,16,16,16,2,2,2
7,675,15,27,27,27,2,2,2
8,706,14,25,25,25,2,2,2
9,686,7,12,12,12,2,2,2
10,662,4,5.55287,5,6,1,1,1
11,661,3.10136,3.20272,3,5,1.89864,1,2
21,659,9.42944,16.4294,16,17,2,2,2
22,233,13,24,24,24,2,2,2
23,232,10,18,18,18,2,2,2
24,470,9,15,15,15,2,2,2
25,460,15,27,27,27,2,2,2
26,91,10,18,18,18,2,2,2
27,317,9,16,16,16,2,2,2
28,337,15,27,27,27,2,2,2
29,313,9,16,16,16,2,2,2
