Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,696,11.5302,21.0101,18,24,2,2,2
2,691,4.08683,5.75543,3,10,1,1,1
3,702,4.73932,7.03561,6,8,2,2,2
4,731,13.3611,24.0616,18,25,2,2,2
5,684,8.05263,13.6637,13,15,2,2,2
6,698,14.1289,25.5315,24,27,2,2,2
7,705,13.5121,24.5121,24,25,2,2,2
8,709,4.68829,7.05219,6,8,1.41749,1,2
9,689,10,17.8142,17,18,2,2,2
10,1333,2,1,1,1,1,1,1
11,706,5.65864,9.28045,8,10,1,1,1
21,693,4.51948,7.02309,4,8,1.02742,1,2
22,236,7.43644,12.1186,11,13,2,2,2
23,233,5.69957,9.21459,7,10,2,2,2
24,525,5.05524,7.8419,4,9,1.10667,1,2
25,460,10.0522,18.1043,18,22,2,2,2
26,143,5.24476,8.32168,6,11,2,2,2
27,339,4,6,6,6,2,2,2
28,321,13.9377,24.9377,24,25,2,2,2
29,346,5.26879,8.13295,7,9,2,2,2
