Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,697,14.6987,26.4505,25,27,2,2,2
2,707,11.4342,20.116,16,27,2,2,2
3,729,15,27,27,27,2,2,2
4,688,15,27,27,27,2,2,2
5,720,15,27,27,27,2,2,2
6,679,13.7172,24.7172,24,25,2,2,2
7,675,15,27,27,27,2,2,2
8,706,15,27,27,27,2,2,2
9,683,11.7482,21.2225,18,24,2,2,2
10,662,7,11.3157,11,12,2,2,2
11,671,8.74516,14.7437,13,15,2,2,2
21,656,14.7439,26.7439,26,27,2,2,2
22,233,15,27,27,27,2,2,2
23,233,15,27,27,27,2,2,2
24,509,13.8978,25.4656,24,27,2,2,2
25,460,15,27,27,27,2,2,2
26,94,14.6596,26.3191,25,27,2,2,2
27,319,12.1411,22.0533,18,27,2,2,2
28,337,15,27,27,27,2,2,2
29,337,14.5282,26.0564,25,27,2,2,2
