Timestamp_ns,NodeId,X,Y,Z
0,0,0,0,35
0,1,-22.0711,-400.099,1.5
0,2,-617.369,-163.835,1.5
0,3,599.809,-537.032,1.5
0,4,278.814,-131.064,1.5
0,5,531.109,-435.214,1.5
0,6,-239.821,103.112,1.5
0,7,-14.8918,320.58,1.5
0,8,314.407,-897.787,1.5
0,9,-204.206,337.58,1.5
0,10,-942.438,-87.2385,1.5
0,11,-351.539,782.759,1.5
0,12,-303.538,-937.574,1.5
0,13,518.276,335.066,1.5
0,14,697.332,-705.332,1.5
0,15,581.08,787.547,1.5
0,16,116.873,416.495,1.5
0,17,729.674,438.171,1.5
0,18,935.16,287.396,1.5
0,19,118.482,320.179,1.5
0,20,66.4812,641.154,1.5
1000000000,0,0,0,35
1000000000,1,-23.4098,-400,1.5
1000000000,2,-617.5,-162.51,1.5
1000000000,3,598.981,-535.981,1.5
1000000000,4,278.002,-130.002,1.5
1000000000,5,530.209,-434.209,1.5
1000000000,6,-239.034,102.034,1.5
1000000000,7,-14.0402,319.54,1.5
1000000000,8,314.5,-896.452,1.5
1000000000,9,-204.995,336.505,1.5
1000000000,10,-941.406,-88.0942,1.5
1000000000,11,-351.5,781.412,1.5
1000000000,12,-303.5,-936.226,1.5
1000000000,13,516.933,335,1.5
1000000000,14,696.377,-704.377,1.5
1000000000,15,580.109,786.609,1.5
1000000000,16,115.983,415.483,1.5
1000000000,17,729.5,436.843,1.5
1000000000,18,933.818,287.5,1.5
1000000000,19,119.351,319.149,1.5
1000000000,20,65.6198,640.12,1.5
2000000000,0,0,0,35
2000000000,1,-24.9098,-400,1.5
2000000000,2,-617.5,-161.01,1.5
2000000000,3,597.92,-534.92,1.5
2000000000,4,276.941,-128.941,1.5
2000000000,5,529.148,-433.148,1.5
2000000000,6,-237.973,100.973,1.5
2000000000,7,-12.9796,318.48,1.5
2000000000,8,314.5,-894.952,1.5
2000000000,9,-206.056,335.444,1.5
2000000000,10,-940.345,-89.1548,1.5
2000000000,11,-351.5,779.912,1.5
2000000000,12,-303.5,-934.726,1.5
2000000000,13,515.433,335,1.5
2000000000,14,695.317,-703.317,1.5
2000000000,15,579.049,785.549,1.5
2000000000,16,114.923,414.423,1.5
2000000000,17,729.5,435.343,1.5
2000000000,18,932.318,287.5,1.5
2000000000,19,120.411,318.089,1.5
2000000000,20,64.5592,639.059,1.5
3000000000,0,0,0,35
3000000000,1,-26.4098,-400,1.5
3000000000,2,-617.5,-159.51,1.5
3000000000,3,596.859,-533.859,1.5
3000000000,4,275.881,-127.881,1.5
3000000000,5,528.087,-432.087,1.5
3000000000,6,-236.913,99.9126,1.5
3000000000,7,-11.9189,317.419,1.5
3000000000,8,314.5,-893.452,1.5
3000000000,9,-207.116,334.384,1.5
3000000000,10,-939.285,-90.2155,1.5
3000000000,11,-351.5,778.412,1.5
3000000000,12,-303.5,-933.226,1.5
3000000000,13,513.933,335,1.5
3000000000,14,694.256,-702.256,1.5
3000000000,15,577.988,784.488,1.5
3000000000,16,113.862,413.362,1.5
3000000000,17,729.5,433.843,1.5
3000000000,18,930.818,287.5,1.5
3000000000,19,121.472,317.028,1.5
3000000000,20,63.4985,637.998,1.5
4000000000,0,0,0,35
4000000000,1,-27.9098,-400,1.5
4000000000,2,-617.5,-158.01,1.5
4000000000,3,595.799,-532.799,1.5
4000000000,4,274.82,-126.82,1.5
4000000000,5,527.027,-431.027,1.5
4000000000,6,-235.852,98.8519,1.5
4000000000,7,-10.8583,316.358,1.5
4000000000,8,314.5,-891.952,1.5
4000000000,9,-208.177,333.323,1.5
4000000000,10,-938.224,-91.2761,1.5
4000000000,11,-351.5,776.912,1.5
4000000000,12,-303.5,-931.726,1.5
4000000000,13,512.433,335,1.5
4000000000,14,693.195,-701.195,1.5
4000000000,15,576.927,783.427,1.5
4000000000,16,112.801,412.301,1.5
4000000000,17,729.5,432.343,1.5
4000000000,18,929.318,287.5,1.5
4000000000,19,122.533,315.967,1.5
4000000000,20,62.4378,636.938,1.5
