Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,8692,9.802,17.2789,16,18,2,2,2
2,29259,1.85208,1.53139,0,3,1,1,1
3,23188,4.49185,6.43247,3,8,1.00259,1,2
4,8535,10,18,18,18,2,2,2
5,12956,5.53713,8.73757,6,15,1.93277,1,2
6,8449,11.1623,19.9893,18,23,2,2,2
7,8403,10,18,18,18,2,2,2
8,28373,3.00779,3.5107,1,5,1,1,1
9,8198,7.9878,13.3946,11,15,2,2,2
10,32780,0,0,0,0,1,1,1
11,24460,2.88913,3.68908,2,4,1.11087,1,2
21,27770,2.48156,2.48156,2,3,1,1,1
22,2938,4.57216,6.57216,6,7,2,2,2
23,2930,4.12833,5.88225,4,8,1.43584,1,2
24,27304,3,3,3,3,1,1,1
25,16695,8.32441,14.0255,13,15,2,2,2
26,9160,5.94793,9.49902,5,12,1.16386,1,2
27,26757,4,6,6,6,1,1,1
28,14998,11.257,20.1504,18,23,2,2,2
29,26478,4.54256,6.86192,4,8,1.22872,1,2
