Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2773,13.9275,24.9275,24,25,2,2,2
2,3313,8.78962,14.7854,12,22,2,2,2
3,2852,14,25.2532,25,26,2,2,2
4,2746,15,27,27,27,2,2,2
5,2717,14.2841,25.5683,25,27,2,2,2
6,2703,10,18,18,18,2,2,2
7,2692,15,27,27,27,2,2,2
8,2675,15,27,27,27,2,2,2
9,2863,10,17.2798,17,18,2,2,2
10,2764,4.29812,6.29812,6,7,2,2,2
11,2939,5.33957,8.27696,7,9,2,2,2
21,2618,11.4725,20.6505,18,27,2,2,2
22,467,14.7024,26.4047,25,27,2,2,2
23,464,14.2996,25.5991,25,27,2,2,2
24,4991,11.2022,20.1038,18,25,2,2,2
25,4603,15,27,27,27,2,2,2
26,917,12.627,23.2541,18,24,2,2,2
27,3168,11.3902,20.7803,18,22,2,2,2
28,3272,15,27,27,27,2,2,2
29,3131,10.9246,19.541,18,23,2,2,2
