Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,9294,0,0,0,8.76275,14.9161,2,21,1.99677,1,2,0,-inf,0,0,9.62205,-4.7,16.3
2,9846,0,0,0,13.3631,24.0711,11,27,1.99929,1,2,0,-inf,0,0,19.4095,5.9,22.7
3,8562,0,0,0,14.9966,26.9935,15,27,2,2,2,0,-inf,0,0,22.6929,10.3,22.7
4,8521,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,15948,0,0,0,3.86193,5.37723,0,17,1.19238,1,2,0,-inf,0,0,-0.295266,-4.7,11.7
6,8427,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
7,8387,0,0,0,14.9988,26.9976,7,27,2,2,2,0,-inf,0,0,22.6976,2.4,22.7
8,16934,0,0,0,4.00655,5.59071,0,11,1,1,1,0,-inf,0,0,0.0850537,-4.7,5.9
9,8292,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
10,11136,0,0,0,5.93804,9.39215,4,20,1.5035,1,2,0,-inf,0,0,4.06821,-2.3,14.1
21,11483,0,0,0,6.10302,9.80745,0,19,1.20256,1,2,0,-inf,0,0,4.43751,-4.7,14.1
22,14673,0,0,0,4.25762,6.02351,0,12,1.01983,1,2,0,-inf,0,0,0.711354,-4.7,5.9
23,2926,0,0,0,14.9826,26.9713,20,27,2,2,2,0,-inf,0,0,22.6634,14.1,22.7
24,2914,0,0,0,11.3294,20.3847,6,25,1.99966,1,2,0,-inf,0,0,14.8205,0.2,21
25,18394,0,0,0,13.2497,23.9817,4,27,1.04953,1,2,0,-inf,0,0,19.2857,-2.3,22.7
26,18341,0,0,0,14.417,25.986,9,27,1.99945,1,2,0,-inf,0,0,21.6168,4.3,22.7
27,11205,0,0,0,6.73083,10.9794,0,23,1.63311,1,2,0,-inf,0,0,5.81097,-4.7,18.7
28,18126,0,0,0,4.5091,6.63693,0,13,1.00364,1,2,0,-inf,0,0,1.55159,-4.7,8.1
29,13901,0,0,0,13.6754,24.4897,10,27,2,2,2,0,-inf,0,0,19.8908,4.3,22.7
30,21428,0,0,0,4.131,5.80096,0,12,1.00789,1,2,0,-inf,0,0,0.315825,-4.7,5.9
