Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,1269,15,27,27,27,2,2,2
2,1247,15,27,27,27,2,2,2
3,1302,15,27,27,27,2,2,2
4,1245,15,27,27,27,2,2,2
5,1266,15,27,27,27,2,2,2
6,1220,15,27,27,27,2,2,2
7,1245,15,27,27,27,2,2,2
8,1203,15,27,27,27,2,2,2
9,1228,15,27,27,27,2,2,2
10,1184,12.9341,22.9341,22,23,2,2,2
21,1150,15,27,27,27,2,2,2
22,1180,15,27,27,27,2,2,2
23,866,15,27,27,27,2,2,2
24,833,15,27,27,27,2,2,2
25,1159,15,27,27,27,2,2,2
26,1143,15,27,27,27,2,2,2
27,1178,15,27,27,27,2,2,2
28,1149,15,27,27,27,2,2,2
29,1093,15,27,27,27,2,2,2
30,1151,15,27,27,27,2,2,2
