Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,4484,10,18,18,18,2,2,2
2,5382,5,7,7,7,2,2,2
3,4437,10,18,18,18,2,2,2
4,4413,14,25,25,25,2,2,2
5,4379,13,24,24,24,2,2,2
6,4521,9,15.9991,15,16,2,2,2
7,4321,15,27,27,27,2,2,2
8,4277,13.9904,24.9904,24,25,2,2,2
9,5216,7,11.9323,11,12,2,2,2
10,4992,3.84054,5.25521,2,6,1.07973,1,2
11,4231,3.34744,3.69487,3,5,1.65256,1,2
21,5266,9.54178,16.5418,16,17,2,2,2
22,2865,13,24,24,24,2,2,2
23,2877,10,18,18,18,2,2,2
24,4077,9,15,15,15,2,2,2
25,4055,15,27,27,27,2,2,2
26,4032,10,18,18,18,2,2,2
27,4963,9,16,16,16,2,2,2
28,4298,15,27,27,27,2,2,2
29,4934,9,15.9189,15,16,2,2,2
