Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2134,15,27,27,27,2,2,2
2,2132,15,27,27,27,2,2,2
3,2131,15,27,27,27,2,2,2
4,2119,15,27,27,27,2,2,2
5,2119,15,27,27,27,2,2,2
6,2113,15,27,27,27,2,2,2
7,2109,15,27,27,27,2,2,2
8,2108,15,27,27,27,2,2,2
9,2088,15,27,27,27,2,2,2
10,2209,12.8393,22.8393,22,23,2,2,2
21,2072,15,27,27,27,2,2,2
22,2063,15,27,27,27,2,2,2
23,375,15,27,27,27,2,2,2
24,373,15,27,27,27,2,2,2
25,2047,15,27,27,27,2,2,2
26,2034,15,27,27,27,2,2,2
27,918,15,27,27,27,2,2,2
28,2163,15,27,27,27,2,2,2
29,2146,15,27,27,27,2,2,2
30,2129,15,27,27,27,2,2,2
