Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2774,15,27,27,27,2,2,2
2,2788,15,27,27,27,2,2,2
3,2901,13.9528,25.1007,18,27,2,2,2
4,2732,15,27,27,27,2,2,2
5,2725,10.0484,18.0668,4,23,1.99963,1,2
6,2713,14.9849,26.976,17,27,2,2,2
7,2690,15,27,27,27,2,2,2
8,2888,13.919,25.0128,15,27,2,2,2
9,2762,15,27,27,27,2,2,2
10,2689,13.9122,24.9305,13,27,2,2,2
11,2631,15,27,27,27,2,2,2
21,2941,14.5202,26.151,18,27,1.99966,1,2
22,464,15,27,27,27,2,2,2
23,464,15,27,27,27,2,2,2
24,4647,14.9791,26.9686,25,27,2,2,2
25,4601,15,27,27,27,2,2,2
26,949,14.5701,26.2392,7,27,1.99895,1,2
27,3287,11.5376,20.8196,4,25,1.99939,1,2
28,3147,15,27,27,27,2,2,2
29,3137,12.313,22.2471,10,24,2,2,2
