Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,701,15,27,27,27,2,2,2
2,694,15,27,27,27,2,2,2
3,692,14.9971,26.9957,24,27,2,2,2
4,691,15,27,27,27,2,2,2
5,725,14.9848,26.9724,13,27,2,2,2
6,682,15,27,27,27,2,2,2
7,679,15,27,27,27,2,2,2
8,713,15,27,27,27,2,2,2
9,710,15,27,27,27,2,2,2
10,705,15,27,27,27,2,2,2
21,701,15,27,27,27,2,2,2
22,696,15,27,27,27,2,2,2
23,233,15,27,27,27,2,2,2
24,232,14.9914,26.9828,23,27,2,2,2
25,506,15,27,27,27,2,2,2
26,505,15,27,27,27,2,2,2
27,137,15,27,27,27,2,2,2
28,342,14.9971,26.9971,26,27,2,2,2
29,340,15,27,27,27,2,2,2
30,340,15,27,27,27,2,2,2
