Timestamp_ns,NodeId,X,Y,Z
0,0,0,0,10
0,1,-8.2831,32.089,1.5
0,2,-2.22945,51.5363,1.5
0,3,-25.2835,59.4869,1.5
0,4,-11.3816,23.54,1.5
0,5,-22.0159,50.7674,1.5
0,6,1.53407,22.633,1.5
0,7,6.81259,26.2351,1.5
0,8,-23.8062,72.3358,1.5
0,9,5.56353,32.1928,1.5
0,10,-1.16568,75.7663,1.5
0,11,13.0927,67.5504,1.5
0,12,-16.4083,77.1281,1.5
0,13,20.7076,45.3977,1.5
0,14,-30.2987,73.3447,1.5
0,15,28.1569,73.0835,1.5
0,16,10.7662,33.9139,1.5
0,17,28.6707,61.9473,1.5
0,18,35.7284,69.6611,1.5
0,19,9.03328,27.1796,1.5
0,20,14.3332,50.0297,1.5
1000000000,0,0,0,10
1000000000,1,-9.29852,31.2015,1.5
1000000000,2,-3.57702,51.5,1.5
1000000000,3,-23.9338,59.5,1.5
1000000000,4,-12.4096,24.4096,1.5
1000000000,5,-22,49.4179,1.5
1000000000,6,1.5,21.2839,1.5
1000000000,7,7.84354,25.5,1.5
1000000000,8,-23.2203,71.2203,1.5
1000000000,9,4.67688,31.1769,1.5
1000000000,10,-1,74.4636,1.5
1000000000,11,13,66.2081,1.5
1000000000,12,-16.5,75.7848,1.5
1000000000,13,19.6194,44.6194,1.5
1000000000,14,-29.368,72.368,1.5
1000000000,15,27.1667,72.1667,1.5
1000000000,16,9.74696,33.247,1.5
1000000000,17,28.5,60.6288,1.5
1000000000,18,34.7409,68.7409,1.5
1000000000,19,9.87163,26.1284,1.5
1000000000,20,13.4879,48.9879,1.5
2000000000,0,0,0,10
2000000000,1,-10.3592,30.1408,1.5
2000000000,2,-5.07702,51.5,1.5
2000000000,3,-22.4338,59.5,1.5
2000000000,4,-13.4703,25.4703,1.5
2000000000,5,-22,47.9179,1.5
2000000000,6,1.5,19.7839,1.5
2000000000,7,8.95003,24.55,1.5
2000000000,8,-22.5,70.0187,1.5
2000000000,9,3.61622,30.1162,1.5
2000000000,10,-1,72.9636,1.5
2000000000,11,13,64.7081,1.5
2000000000,12,-16.5,74.2848,1.5
2000000000,13,18.5588,43.5588,1.5
2000000000,14,-28.3073,71.3073,1.5
2000000000,15,26.106,71.106,1.5
2000000000,16,8.34926,33,1.5
2000000000,17,28.5,59.1288,1.5
2000000000,18,33.6803,67.6803,1.5
2000000000,19,10.9323,25.0677,1.5
2000000000,20,12.4272,47.9272,1.5
3000000000,0,0,0,10
3000000000,1,-11.4198,29.0802,1.5
3000000000,2,-6.36992,52,1.5
3000000000,3,-20.9338,59.5,1.5
3000000000,4,-14.531,26.531,1.5
3000000000,5,-22,46.4179,1.5
3000000000,6,1.5,18.2839,1.5
3000000000,7,10.4293,24.5,1.5
3000000000,8,-22.5,68.5187,1.5
3000000000,9,2.55556,29.0556,1.5
3000000000,10,-1,71.4636,1.5
3000000000,11,13,63.2081,1.5
3000000000,12,-15.6407,73.1407,1.5
3000000000,13,17.4981,42.4981,1.5
3000000000,14,-27.2466,70.2466,1.5
3000000000,15,25.0454,70.0454,1.5
3000000000,16,6.84926,33,1.5
3000000000,17,28.5,57.6288,1.5
3000000000,18,32.6196,66.6196,1.5
3000000000,19,11.993,24.007,1.5
3000000000,20,11.3666,46.8666,1.5
4000000000,0,0,0,10
4000000000,1,-12,27.8205,1.5
4000000000,2,-7.86992,52,1.5
4000000000,3,-19.4338,59.5,1.5
4000000000,4,-15.5916,27.5916,1.5
4000000000,5,-22,44.9179,1.5
4000000000,6,1.5,16.7839,1.5
4000000000,7,11.9293,24.5,1.5
4000000000,8,-22.5,67.0187,1.5
4000000000,9,1.4949,27.9949,1.5
4000000000,10,-1,69.9636,1.5
4000000000,11,12.7936,61.7936,1.5
4000000000,12,-15.5,71.699,1.5
4000000000,13,16.4374,41.4374,1.5
4000000000,14,-26.186,69.186,1.5
4000000000,15,23.9847,68.9847,1.5
4000000000,16,5.39341,32.8934,1.5
4000000000,17,28.5,56.1288,1.5
4000000000,18,31.559,65.559,1.5
4000000000,19,13.0536,22.9464,1.5
4000000000,20,10.3059,45.8059,1.5
