Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2774,15,27,27,27,2,2,2
2,2842,15,27,27,27,2,2,2
3,2826,15,27,27,27,2,2,2
4,2732,15,27,27,27,2,2,2
5,2739,14.9547,26.9197,13,27,1.99963,1,2
6,2706,15,27,27,27,2,2,2
7,2689,15,27,27,27,2,2,2
8,2774,15,27,27,27,2,2,2
9,2766,15,27,27,27,2,2,2
10,2723,14.9882,26.9791,18,27,2,2,2
11,2631,15,27,27,27,2,2,2
21,2706,15,27,27,27,2,2,2
22,461,15,27,27,27,2,2,2
23,464,15,27,27,27,2,2,2
24,4626,15,27,27,27,2,2,2
25,4603,15,27,27,27,2,2,2
26,918,15,27,27,27,2,2,2
27,3336,14.9308,26.8933,6,27,2,2,2
28,3147,15,27,27,27,2,2,2
29,3147,14.9978,26.9959,18,27,2,2,2
